name;type;lat;lng;visibility;wgs84;amsl_ft;agl_ft;state;prec_hz;prec_vt;boundary;creation_date;verification_date;validity_date;data_provider;quality_factor;city
E0205-11;Eolienne;49.692067;3.801862;JOUR ET NUIT;OUI;811.0;476;VERIFIE;conforme ;inconnu;90;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Autremencourt
E0206-1;Eolienne;49.114917;3.245973;JOUR ET NUIT;OUI;948.0;397;VERIFIE;conforme ;inconnu;82;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Hautevesnes
E0206-2;Eolienne;49.110589;3.24435;JOUR ET NUIT;OUI;925.0;397;VERIFIE;conforme ;inconnu;82;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Hautevesnes
E0206-3;Eolienne;49.107381;3.244514;JOUR ET NUIT;OUI;928.0;397;VERIFIE;conforme ;inconnu;82;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Hautevesnes
E0206-4;Eolienne;49.103878;3.243639;JOUR ET NUIT;OUI;906.0;397;VERIFIE;conforme ;inconnu;82;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Hautevesnes
E0206-5;Eolienne;49.119525;3.246459;JOUR ET NUIT;OUI;935.0;397;VERIFIE;conforme ;inconnu;82;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Hautevesnes
E0206-6;Eolienne;49.123956;3.243842;JOUR ET NUIT;OUI;958.0;397;VERIFIE;conforme ;inconnu;82;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Hautevesnes
E0207-1;Eolienne;49.753578;3.400087;JOUR ET NUIT;OUI;738.0;410;VERIFIE;conforme ;inconnu;90;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Brissy-Hamegicourt
E0207-2;Eolienne;49.755562;3.397125;JOUR ET NUIT;OUI;741.0;410;VERIFIE;conforme ;inconnu;90;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Brissy-Hamegicourt
E0207-3;Eolienne;49.751475;3.402875;JOUR ET NUIT;OUI;748.0;410;VERIFIE;conforme ;inconnu;90;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Brissy-Hamegicourt
E0208-1;Eolienne;49.760012;3.443273;JOUR ET NUIT;OUI;735.0;410;VERIFIE;conforme ;inconnu;90;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Sery-les-Mezieres
E0208-2;Eolienne;49.75637;3.44757;JOUR ET NUIT;OUI;768.0;410;VERIFIE;conforme ;inconnu;90;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Sery-les-Mezieres
E0208-3;Eolienne;49.763028;3.440995;JOUR ET NUIT;OUI;741.0;410;VERIFIE;conforme ;inconnu;90;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Sery-les-Mezieres
E0208-4;Eolienne;49.764862;3.438414;JOUR ET NUIT;OUI;748.0;410;VERIFIE;conforme ;inconnu;90;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Sery-les-Mezieres
E0209-1;Eolienne;49.771606;3.472067;JOUR ET NUIT;OUI;748.0;410;VERIFIE;conforme ;inconnu;90;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Ribemont
E0209-2;Eolienne;49.775287;3.469973;JOUR ET NUIT;OUI;777.0;410;VERIFIE;conforme ;inconnu;90;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Ribemont
E0209-3;Eolienne;49.778573;3.467889;JOUR ET NUIT;OUI;791.0;410;VERIFIE;conforme ;inconnu;90;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Ribemont
E0209-4;Eolienne;49.780617;3.463131;JOUR ET NUIT;OUI;794.0;410;VERIFIE;conforme ;inconnu;90;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Ribemont
E0209-5;Eolienne;49.768659;3.474306;JOUR ET NUIT;OUI;748.0;410;VERIFIE;conforme ;inconnu;90;09/10/2017;24/03/2018;24/03/2023;DIRCAM/DIA;8;Ribemont
